,AREA,PERIMETER,PARKS_,PARKS_ID,NAME,TYPE,DPWDIV,ZONE,HOOD_NO,HOOD,ACRES,SQMILES,ADDRESS,CODE,ALT_NAME,PW,TITLE,ID,Shape_Leng,ClassCode,Shape_Le_1,Shape_Area,X,Y
95,585212,3273.4,104,108,Kennard,Playground,3,Central,83,Terrace Village,13.43462876,0.020991607,NA,play,NA,n,Kennard Playground,177,3273.395351,0,3273.395351,585212.4286,-79.97346025,40.44269575
96,96170.3,1305.91,106,110,Wightman,Playground,3,Eastern,76,Squirrel Hill North,2.207765176,0.003449633,NA,play,NA,n,Wightman Playground,199,1305.908097,0,1305.908097,96170.25108,-79.92706601,40.44333007
97,61045.5,972.196,108,112,Mellon Square,Park,6,State,17,Central Business District,1.401412957,0.002189708,NA,park,NA,n,Mellon Square Park,216,972.1956333,1,972.1956333,61045.54842,-79.99746002,40.44095751
98,138002,2000.12,109,113,Wabash,Playground,5,Western,87,West End,3.168097996,0.004950153,NA,play,NA,n,Wabash Playground,224,2000.123554,0,2000.123554,138002.3487,-80.0340674,40.43923961
99,293842,2666.56,110,114,Dunbar,Playground,5,Western,23,Crafton Heights,6.745688433,0.010540138,NA,play,NA,n,Dunbar Playground,226,2666.556307,0,2666.556307,293842.1881,-80.05238196,40.43875027
100,16620.1,542.404,111,115,"Albert ""Turk"" Graham",Parklet,3,NA,24,Crawford-Roberts,0.381543957,0.000596162,NA,park,NA,n,"Albert ""Turk"" Graham Parklet",237,542.4043776,0,542.4043776,16620.05475,-79.98401757,40.44050716
101,151639,1676.04,112,116,Martin Luther King,Field,3,Central,83,Terrace Village,3.481149119,0.005439295,NA,gspc,NA,n,Martin Luther King Field,240,1676.04109,0,1676.04109,151638.8556,-79.97385447,40.43987194
102,3434.35,244.097,113,117,Dunseith,Tot Lot,3,Central,88,West Oakland,0.078841837,0.00012319,NA,play,NA,n,Dunseith Tot Lot,243,244.0970609,0,244.0970609,3434.350436,-79.96509156,40.44050033
103,37193.6,780.268,114,118,Shaler,Parklet,5,Western,25,Duquesne Heights,0.853846946,0.001334136,NA,park,NA,n,Shaler Parklet,248,780.2681372,0,780.2681372,37193.57297,-80.02448974,40.43820153
104,2710.79,282.821,115,119,Westwood,Island,5,Western,89,Westwood,0.062231249,9.72E-05,NA,gspc,NA,y,Westwood Island,250,282.820808,0,282.820808,2710.793224,-80.05390365,40.43783506
105,1503.29,169.007,116,120,Jail,Triangle,6,Central,17,Central Business District,0.034510697,5.39E-05,NA,gspc,NA,y,Jail Triangle,258,169.0067854,0,169.0067854,1503.285941,-79.99460277,40.43816989
106,19931.7,604.753,117,121,Boundary St,Tot Lot,3,Schenley,20,Central Oakland,0.457568874,0.000714951,NA,play,NA,n,Boundary St Tot Lot,260,604.7525384,0,604.7525384,19931.70017,-79.95058888,40.43852827
107,14990,540.462,118,122,Crafton Heights,Tot Lot,5,Western,89,Westwood,0.344122353,0.000537691,NA,play,NA,n,Crafton Heights Tot Lot,262,540.4619474,0,540.4619474,14989.96971,-80.05669427,40.43618562
108,13766.3,685.985,119,123,Thomas,Parklet,6,State,17,Central Business District,0.316029905,0.000493797,NA,park,NA,n,Thomas Parklet,265,685.9851042,0,685.9851042,13766.26265,-79.998994,40.43649821
109,7407.27,382.166,120,124,Carnegie Library Squirrel Hill,NA,3,NA,76,Squirrel Hill North,0.170047522,0.000265699,NA,misc,NA,y,Carnegie Library Squirrel Hill,266,382.1664451,0,382.1664451,7407.27004,-79.92266543,40.4381807
110,24795.7,878.148,121,125,Oakland,Square,3,Schenley,20,Central Oakland,0.569229798,0.000889422,NA,gspc,NA,n,Oakland Square,268,878.1484287,0,878.1484287,24795.65,-79.95162886,40.43709857
111,4716.92,274.809,122,126,Tustin,Tot Lot,3,Central,11,Bluff,0.108285619,0.000169196,NA,play,NA,n,Tustin Tot Lot,269,274.8088238,0,274.8088238,4716.92157,-79.97660331,40.43669354
112,10255.6,899.718,123,127,Vietnam,Island,3,Eastern,77,Squirrel Hill South,0.23543731,0.000367871,NA,gspc,NA,n,Vietnam Island,270,899.7178198,0,899.7178198,10255.64924,-79.91262722,40.4379178
113,267769,5037.75,124,128,Grandview,Overlook,5,Western,53,Mount Washington,6.147135376,0.009604899,NA,gspc,NA,n,Grandview Overlook,271,5037.750898,0,5037.750898,267769.217,-80.00875559,40.43305198
114,3823.62,249.45,125,129,Craft,Triangle,3,Schenley,70,South Oakland,0.087778172,0.000137153,NA,gspc,NA,n,Craft Triangle,273,249.4495686,0,249.4495686,3823.617185,-79.9618995,40.43596074
115,31678.7,816.841,126,130,Zulema,Passive Area,3,Schenley,20,Central Oakland,0.727243188,0.001136317,NA,misc,NA,n,Zulema Passive Area,275,816.8407501,0,816.8407501,31678.71327,-79.95704807,40.43569298
116,18956.5,701.575,127,131,Lawn & Ophelia,Playground,3,Schenley,70,South Oakland,0.435180566,0.00067997,NA,play,NA,n,Lawn & Ophelia Playground,276,701.5748464,0,701.5748464,18956.46543,-79.96526185,40.43543415
117,12119.9,431.507,128,132,Bates St,Triangle,3,Schenley,70,South Oakland,0.278233888,0.00043474,NA,gspc,NA,n,Bates St Triangle,285,431.5068189,0,431.5068189,12119.86818,-79.95627021,40.43482121
118,9764.47,395.337,129,133,Niagara,Parklet,3,Schenley,70,South Oakland,0.224161437,0.000350252,NA,park,NA,n,Niagara Parklet,288,395.3365114,0,395.3365114,9764.472214,-79.96013725,40.43471216
119,820.039,111.756,130,134,Regent Square,War Memorial,3,Eastern,66,Regent Square,0.018825516,2.94E-05,NA,misc,NA,y,Regent Square War Memorial,289,111.7559717,0,111.7559717,820.0394732,-79.89589614,40.43593471
120,149325,1572.78,131,135,Westwood,School,5,Western,89,Westwood,3.42802024,0.005356282,NA,misc,NA,n,Westwood School,290,1572.776849,0,1572.776849,149324.5616,-80.05022366,40.4306905
121,404167,2810.16,132,136,Olympia,Park,5,Western,53,Mount Washington,9.278405244,0.014497508,NA,park,NA,n,Olympia Park,294,2810.162613,0,2810.162613,404167.3324,-80.01836069,40.43099486
122,86338.2,1359.16,133,137,Ream,Parklet,5,Western,53,Mount Washington,1.982051879,0.003096956,NA,park,NA,n,Ream Parklet,298,1359.156066,0,1359.156066,86338.17983,-80.01324585,40.43097353
123,65425.5,1052.35,134,138,Davis,Parklet,3,Eastern,77,Squirrel Hill South,1.501962075,0.002346816,NA,park,NA,n,Davis Parklet,303,1052.345323,0,1052.345323,65425.468,-79.92495677,40.43236453
124,11185.9,471.678,135,139,Lodge Potenza,Senior Center,5,NA,53,Mount Washington,0.256792827,0.000401239,NA,misc,NA,n,Lodge Potenza Senior Center,305,471.6775281,0,471.6775281,11185.89553,-80.00796024,40.4301351
